parsercounter / Metric:LA	treebankcounter / Metric:LA	treebankaccuracy / Metric:LA	parseraccuracy / Metric:LA	parsercounter / Metric:UAS	treebankcounter / Metric:UAS	treebankaccuracy / Metric:UAS	parseraccuracy / Metric:UAS	parsercounter / Metric:LAS	treebankcounter / Metric:LAS	treebankaccuracy / Metric:LAS	parseraccuracy / Metric:LAS	ArcDepth
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
785	693	82.684%	73.631%	785	693	83.405%	73.631%	785	693	82.540%	72.866%	0
2874	2674	88.257%	89.109%	2874	2674	80.890%	79.506%	2874	2674	75.467%	74.182%	1
1607	1450	89.172%	89.732%	1607	1450	85.310%	86.497%	1607	1450	81.655%	82.514%	2
1353	1355	90.480%	91.870%	1353	1355	89.299%	90.392%	1353	1355	83.911%	85.514%	3
1050	1095	92.694%	93.714%	1050	1095	87.854%	90.667%	1050	1095	84.840%	87.810%	4
843	882	92.177%	93.357%	843	882	89.002%	88.612%	843	882	84.694%	85.884%	5
599	689	91.147%	90.317%	599	689	86.502%	89.816%	599	689	82.874%	84.641%	6
474	547	93.419%	92.405%	474	547	89.945%	88.186%	474	547	87.020%	85.232%	7
347	404	92.822%	93.372%	347	404	87.871%	92.219%	347	404	85.149%	88.184%	8
263	293	92.150%	94.297%	263	293	88.055%	92.015%	263	293	83.618%	87.833%	9
179	218	93.578%	93.855%	179	218	88.532%	91.061%	179	218	86.239%	87.151%	10
126	134	91.045%	96.032%	126	134	85.821%	94.444%	126	134	84.328%	92.857%	11
85	108	89.815%	95.294%	85	108	88.889%	94.118%	85	108	84.259%	90.588%	12
64	72	87.500%	95.312%	64	72	84.722%	98.438%	64	72	80.556%	95.312%	13
35	52	94.231%	94.286%	35	52	88.462%	94.286%	35	52	86.538%	91.429%	14
27	37	94.595%	92.593%	27	37	83.784%	92.593%	27	37	83.784%	85.185%	15
19	26	88.462%	100.000%	19	26	80.769%	94.737%	19	26	80.769%	94.737%	16
14	16	87.500%	100.000%	14	16	68.750%	92.857%	14	16	68.750%	92.857%	17
10	12	91.667%	100.000%	10	12	83.333%	100.000%	10	12	83.333%	100.000%	18
7	6	83.333%	100.000%	7	6	66.667%	71.429%	7	6	66.667%	71.429%	19
3	2	100.000%	100.000%	3	2	100.000%	100.000%	3	2	100.000%	100.000%	20
2	2	100.000%	100.000%	2	2	100.000%	100.000%	2	2	100.000%	100.000%	21
1	0	-	100.000%	1	0	-	100.000%	1	0	-	100.000%	22
