parsercounter / Metric:LA	treebankcounter / Metric:LA	treebankaccuracy / Metric:LA	parseraccuracy / Metric:LA	parsercounter / Metric:UAS	treebankcounter / Metric:UAS	treebankaccuracy / Metric:UAS	parseraccuracy / Metric:UAS	parsercounter / Metric:LAS	treebankcounter / Metric:LAS	treebankaccuracy / Metric:LAS	parseraccuracy / Metric:LAS	RelationLength
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
785	693	82.684%	73.631%	785	693	83.405%	73.631%	785	693	82.540%	72.866%	-1
6774	6794	93.715%	93.815%	6774	6794	94.201%	94.479%	6774	6794	90.595%	90.862%	1
1545	1579	86.510%	90.550%	1545	1579	80.937%	82.718%	1545	1579	76.061%	77.735%	2
637	662	82.326%	83.046%	637	662	72.810%	75.667%	637	662	63.293%	65.777%	3
293	289	78.201%	80.887%	293	289	60.208%	59.386%	293	289	52.941%	52.218%	4
147	165	80.606%	81.633%	147	165	47.273%	53.061%	147	165	42.424%	47.619%	5
101	113	77.876%	77.228%	101	113	42.478%	47.525%	101	113	38.053%	42.574%	6
81	75	86.667%	83.951%	81	75	52.000%	48.148%	81	75	50.667%	46.914%	7
55	49	77.551%	87.273%	55	49	36.735%	32.727%	55	49	36.735%	32.727%	8
52	40	75.000%	75.000%	52	40	45.000%	34.615%	52	40	42.500%	32.692%	9
37	38	73.684%	67.568%	37	38	39.474%	40.541%	37	38	34.211%	35.135%	10
30	32	75.000%	86.667%	30	32	43.750%	46.667%	30	32	43.750%	46.667%	11
31	25	88.000%	87.097%	31	25	44.000%	35.484%	31	25	44.000%	35.484%	12
29	19	78.947%	79.310%	29	19	42.105%	27.586%	29	19	42.105%	27.586%	13
24	24	87.500%	91.667%	24	24	54.167%	54.167%	24	24	54.167%	54.167%	14
14	15	93.333%	78.571%	14	15	40.000%	42.857%	14	15	40.000%	42.857%	15
21	22	86.364%	90.476%	21	22	54.545%	57.143%	21	22	54.545%	57.143%	16
16	13	84.615%	87.500%	16	13	61.538%	50.000%	16	13	61.538%	50.000%	17
11	9	100.000%	81.818%	11	9	55.556%	45.455%	11	9	55.556%	45.455%	18
9	11	81.818%	55.556%	9	11	27.273%	33.333%	9	11	27.273%	33.333%	19
4	2	100.000%	50.000%	4	2	50.000%	25.000%	4	2	50.000%	25.000%	20
9	13	100.000%	77.778%	9	13	38.462%	55.556%	9	13	38.462%	55.556%	21
6	10	70.000%	83.333%	6	10	40.000%	66.667%	6	10	40.000%	66.667%	22
10	7	71.429%	60.000%	10	7	42.857%	30.000%	10	7	42.857%	30.000%	23
5	6	100.000%	80.000%	5	6	33.333%	40.000%	5	6	33.333%	40.000%	24
3	2	100.000%	100.000%	3	2	0.000%	0.000%	3	2	0.000%	0.000%	25
4	2	100.000%	50.000%	4	2	50.000%	25.000%	4	2	50.000%	25.000%	26
3	2	50.000%	100.000%	3	2	50.000%	33.333%	3	2	50.000%	33.333%	27
2	4	75.000%	50.000%	2	4	25.000%	50.000%	2	4	25.000%	50.000%	28
0	4	75.000%	-	0	4	0.000%	-	0	4	0.000%	-	29
2	4	75.000%	100.000%	2	4	25.000%	50.000%	2	4	25.000%	50.000%	30
1	4	100.000%	100.000%	1	4	0.000%	0.000%	1	4	0.000%	0.000%	31
3	0	-	100.000%	3	0	-	0.000%	3	0	-	0.000%	32
