counter / Metric:LA	accuracy / Metric:LA	counter / Metric:UAS	accuracy / Metric:UAS	counter / Metric:LAS	accuracy / Metric:LAS	Postag
----------------------------------------------------------------------------------------------------------------------------------------------------
670	88.3582%	670	94.4776%	670	86.7164%	Al-NOM
8	100.0000%	8	87.5000%	8	87.5000%	Al-NOM-A
21	90.4762%	21	95.2381%	21	90.4762%	Al-NOM-An
21	80.9524%	21	85.7143%	21	80.9524%	Al-NOM-At
383	84.5953%	383	90.8616%	383	83.0287%	Al-NOM-p
4	50.0000%	4	75.0000%	4	50.0000%	Al-NOM-w
13	100.0000%	13	92.3077%	13	92.3077%	Al-NOM-wn
85	92.9412%	85	85.8824%	85	83.5294%	Al-NOM-y
47	100.0000%	47	91.4894%	47	91.4894%	Al-NOM-yn
1216	82.1546%	1216	89.2270%	1216	80.1809%	NOM
329	78.4195%	329	84.1945%	329	73.2523%	NOM-A
48	85.4167%	48	97.9167%	48	85.4167%	NOM-An
47	82.9787%	47	93.6170%	47	82.9787%	NOM-At
249	87.5502%	249	78.7149%	249	73.4940%	NOM-PREP
1233	99.0268%	1233	99.0268%	1233	98.5401%	NOM-PRON
163	85.8896%	163	95.0920%	163	85.2761%	NOM-PROP
410	83.1707%	410	92.6829%	410	81.4634%	NOM-p
9	33.3333%	9	55.5556%	9	33.3333%	NOM-wn
35	88.5714%	35	88.5714%	35	85.7143%	NOM-y
34	85.2941%	34	97.0588%	34	85.2941%	NOM-yn
184	97.2826%	184	76.6304%	184	75.5435%	PNX
482	98.9627%	482	75.7261%	482	75.5187%	PNX-COMMA
24	91.6667%	24	66.6667%	24	62.5000%	PNX-DASH
246	97.5610%	246	74.7967%	246	74.7967%	PNX-DOT
46	100.0000%	46	86.9565%	46	86.9565%	PNX-QUOTE
395	88.6076%	395	72.9114%	395	71.6456%	PRT
293	80.8874%	293	86.3481%	293	78.1570%	PRT-An
264	90.5303%	264	88.6364%	264	87.5000%	PRT-NEG
736	92.6630%	736	77.5815%	736	75.8152%	PRT-PREP
53	100.0000%	53	100.0000%	53	100.0000%	PRT-V
239	92.4686%	239	77.8243%	239	76.1506%	PRT-b
178	96.0674%	178	75.2809%	178	74.1573%	PRT-f
209	81.8182%	209	73.6842%	209	70.3349%	PRT-l
30	60.0000%	30	50.0000%	30	43.3333%	PRT-mA
935	99.3583%	935	78.0749%	935	77.7540%	PRT-w
1414	86.7751%	1414	86.4922%	1414	84.5120%	VRB
12	58.3333%	12	66.6667%	12	58.3333%	VRB-PASS
2	50.0000%	2	100.0000%	2	50.0000%	VRB-s
