accuracy / Metric:LA	sentencelength / Metric:LA	accuracy / Metric:UAS	sentencelength / Metric:UAS	accuracy / Metric:LAS	sentencelength / Metric:LAS	Sentence
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
90.8514%	3396.5300%	86.9688%	3396.5300%	83.4821%	3396.5300%	Row mean
317	317	317	317	317	317	Row count
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
88.2353%	68	85.2941%	68	82.3529%	68	1
85.2632%	95	80.0000%	95	75.7895%	95	2
100.0000%	1	100.0000%	1	100.0000%	1	3
100.0000%	5	100.0000%	5	100.0000%	5	4
68.7500%	16	50.0000%	16	50.0000%	16	5
72.7273%	11	45.4545%	11	36.3636%	11	6
95.1807%	83	95.1807%	83	92.7711%	83	7
88.5246%	61	81.9672%	61	78.6885%	61	8
78.9474%	38	68.4211%	38	68.4211%	38	9
85.0000%	40	82.5000%	40	80.0000%	40	10
85.1852%	54	81.4815%	54	75.9259%	54	11
94.8718%	39	89.7436%	39	89.7436%	39	12
91.3043%	23	86.9565%	23	86.9565%	23	13
87.9121%	91	81.3187%	91	76.9231%	91	14
94.0000%	50	86.0000%	50	84.0000%	50	15
100.0000%	25	96.0000%	25	96.0000%	25	16
89.5833%	96	81.2500%	96	78.1250%	96	17
86.2745%	51	92.1569%	51	82.3529%	51	18
100.0000%	9	100.0000%	9	100.0000%	9	19
100.0000%	14	92.8571%	14	92.8571%	14	20
100.0000%	17	88.2353%	17	88.2353%	17	21
83.3333%	12	91.6667%	12	83.3333%	12	22
90.0000%	10	100.0000%	10	90.0000%	10	23
95.2381%	21	100.0000%	21	95.2381%	21	24
100.0000%	35	94.2857%	35	94.2857%	35	25
100.0000%	25	100.0000%	25	100.0000%	25	26
77.7778%	9	66.6667%	9	66.6667%	9	27
100.0000%	7	100.0000%	7	100.0000%	7	28
100.0000%	5	100.0000%	5	100.0000%	5	29
100.0000%	9	100.0000%	9	100.0000%	9	30
100.0000%	10	100.0000%	10	100.0000%	10	31
86.6667%	15	86.6667%	15	80.0000%	15	32
93.1818%	44	90.9091%	44	88.6364%	44	33
94.7368%	38	94.7368%	38	92.1053%	38	34
92.3077%	104	95.1923%	104	87.5000%	104	35
80.3279%	61	72.1311%	61	65.5738%	61	36
97.1014%	69	97.1014%	69	94.2029%	69	37
100.0000%	15	100.0000%	15	100.0000%	15	38
92.8571%	14	92.8571%	14	85.7143%	14	39
86.6667%	90	82.2222%	90	72.2222%	90	40
89.6552%	29	79.3103%	29	75.8621%	29	41
91.6667%	48	83.3333%	48	81.2500%	48	42
90.6250%	32	84.3750%	32	84.3750%	32	43
95.0820%	61	96.7213%	61	91.8033%	61	44
93.6170%	47	87.2340%	47	85.1064%	47	45
93.5294%	170	94.7059%	170	90.5882%	170	46
93.9394%	33	90.9091%	33	87.8788%	33	47
87.7660%	188	84.5745%	188	78.7234%	188	48
95.1613%	62	85.4839%	62	83.8710%	62	49
87.7551%	49	81.6327%	49	75.5102%	49	50
78.2609%	46	73.9130%	46	69.5652%	46	51
100.0000%	3	100.0000%	3	100.0000%	3	52
80.0000%	25	76.0000%	25	72.0000%	25	53
86.6667%	15	73.3333%	15	73.3333%	15	54
88.1579%	76	81.5789%	76	76.3158%	76	55
100.0000%	16	100.0000%	16	100.0000%	16	56
82.1429%	84	78.5714%	84	73.8095%	84	57
88.1579%	76	92.1053%	76	81.5789%	76	58
89.4737%	38	86.8421%	38	84.2105%	38	59
89.5105%	143	87.4126%	143	81.8182%	143	60
95.3125%	64	96.8750%	64	93.7500%	64	61
97.1429%	35	94.2857%	35	94.2857%	35	62
81.2500%	16	81.2500%	16	75.0000%	16	63
91.2281%	114	77.1930%	114	76.3158%	114	64
93.4066%	91	92.3077%	91	90.1099%	91	65
88.0952%	42	95.2381%	42	88.0952%	42	66
87.0968%	31	83.8710%	31	80.6452%	31	67
91.3043%	23	86.9565%	23	86.9565%	23	68
85.0000%	40	80.0000%	40	77.5000%	40	69
88.0952%	42	88.0952%	42	78.5714%	42	70
90.2439%	41	85.3659%	41	85.3659%	41	71
91.6667%	96	86.4583%	96	83.3333%	96	72
100.0000%	14	100.0000%	14	100.0000%	14	73
100.0000%	8	100.0000%	8	100.0000%	8	74
90.5882%	85	87.0588%	85	84.7059%	85	75
81.5385%	65	61.5385%	65	58.4615%	65	76
89.4737%	38	81.5789%	38	78.9474%	38	77
91.5789%	95	89.4737%	95	85.2632%	95	78
100.0000%	7	100.0000%	7	100.0000%	7	79
100.0000%	4	100.0000%	4	100.0000%	4	80
100.0000%	3	100.0000%	3	100.0000%	3	81
94.4444%	18	100.0000%	18	94.4444%	18	82
100.0000%	5	100.0000%	5	100.0000%	5	83
85.0000%	20	95.0000%	20	85.0000%	20	84
100.0000%	1	100.0000%	1	100.0000%	1	85
100.0000%	1	100.0000%	1	100.0000%	1	86
69.2308%	13	69.2308%	13	61.5385%	13	87
77.7778%	18	72.2222%	18	61.1111%	18	88
80.0000%	55	65.4545%	55	61.8182%	55	89
96.1538%	26	92.3077%	26	88.4615%	26	90
95.2381%	21	76.1905%	21	76.1905%	21	91
100.0000%	16	100.0000%	16	100.0000%	16	92
88.2353%	17	64.7059%	17	64.7059%	17	93
78.9474%	19	63.1579%	19	57.8947%	19	94
82.6087%	23	73.9130%	23	69.5652%	23	95
91.0714%	112	86.6071%	112	81.2500%	112	96
94.1176%	17	70.5882%	17	70.5882%	17	97
95.3488%	43	93.0233%	43	90.6977%	43	98
98.2456%	57	98.2456%	57	96.4912%	57	99
93.1818%	44	88.6364%	44	88.6364%	44	100
93.5484%	31	96.7742%	31	90.3226%	31	101
100.0000%	5	100.0000%	5	100.0000%	5	102
85.9375%	64	78.1250%	64	73.4375%	64	103
100.0000%	26	96.1538%	26	96.1538%	26	104
93.8144%	97	88.6598%	97	85.5670%	97	105
100.0000%	43	95.3488%	43	95.3488%	43	106
73.3333%	15	60.0000%	15	60.0000%	15	107
100.0000%	6	100.0000%	6	100.0000%	6	108
100.0000%	25	96.0000%	25	96.0000%	25	109
96.2264%	53	98.1132%	53	96.2264%	53	110
93.7500%	16	93.7500%	16	93.7500%	16	111
90.6250%	32	75.0000%	32	71.8750%	32	112
90.0000%	50	86.0000%	50	82.0000%	50	113
90.9091%	33	87.8788%	33	84.8485%	33	114
100.0000%	12	100.0000%	12	100.0000%	12	115
88.2353%	34	88.2353%	34	88.2353%	34	116
100.0000%	3	100.0000%	3	100.0000%	3	117
87.8049%	41	78.0488%	41	73.1707%	41	118
88.0000%	25	80.0000%	25	76.0000%	25	119
100.0000%	38	100.0000%	38	100.0000%	38	120
88.2353%	34	73.5294%	34	73.5294%	34	121
61.5385%	13	69.2308%	13	61.5385%	13	122
88.5714%	35	94.2857%	35	82.8571%	35	123
97.4359%	39	92.3077%	39	92.3077%	39	124
83.3333%	42	69.0476%	42	64.2857%	42	125
81.8182%	55	74.5455%	55	67.2727%	55	126
91.6667%	24	91.6667%	24	83.3333%	24	127
82.6087%	23	95.6522%	23	78.2609%	23	128
78.9474%	19	84.2105%	19	73.6842%	19	129
83.9286%	56	87.5000%	56	78.5714%	56	130
100.0000%	3	100.0000%	3	100.0000%	3	131
94.2857%	35	91.4286%	35	88.5714%	35	132
91.6667%	24	91.6667%	24	87.5000%	24	133
98.0000%	50	92.0000%	50	92.0000%	50	134
86.6667%	45	62.2222%	45	60.0000%	45	135
84.3137%	102	66.6667%	102	60.7843%	102	136
100.0000%	4	100.0000%	4	100.0000%	4	137
100.0000%	8	100.0000%	8	100.0000%	8	138
100.0000%	1	100.0000%	1	100.0000%	1	139
100.0000%	5	100.0000%	5	100.0000%	5	140
87.0690%	116	67.2414%	116	64.6552%	116	141
94.7368%	19	73.6842%	19	73.6842%	19	142
